time [ms],B1 [uT]
-0.285285285285285+0i,0.020214748379091-0.117951240392128i
-0.283283283283283+0i,0.0642765856376634-0.094267177521993i
-0.281281281281281+0i,0.0927446616892584-0.0560539185444836i
-0.279279279279279+0i,0.10181309514899-0.011753166409378i
-0.277277277277277+0i,0.0917504521158521+0.0297731749397737i
-0.275275275275275+0i,0.0665186151796111+0.0610421313994777i
-0.273273273273273+0i,0.0326625204212251+0.0773418435145406i
-0.271271271271271+0i,-0.002255819348735+0.0774499887785708i
-0.269269269269269+0i,-0.0313220356452455+0.0635660722811885i
-0.267267267267267+0i,-0.0496711427084213+0.0405180138828702i
-0.265265265265265+0i,-0.0553375093027283+0.0144573226844411i
-0.263263263263263+0i,-0.0493973067961539-0.0086404602231889i
-0.261261261261261+0i,-0.0354106055123582-0.0243233879253162i
-0.259259259259259+0i,-0.0183269670899025-0.0305595594696542i
-0.257257257257257+0i,-0.0031344939980364-0.0279961039403935i
-0.255255255255255+0i,0.0064172234306231-0.0195468368389193i
-0.253253253253253+0i,0.00871542331830745-0.00943214415987824i
-0.251251251251251+0i,0.00459417978474646-0.00192163001185807i
-0.249249249249249+0i,-3.01040800203235e-03-9.802457855179e-05i
-0.247247247247247+0i,-0.00996806185279121-0.00495433435673835i
-0.245245245245245+0i,-0.0121960411187869-0.0150563784025618i
-0.243243243243243+0i,-0.0069208586763265-0.0268673440713825i
-0.241241241241241+0i,0.0063656153701293-0.0356702479028943i
-0.239239239239239+0i,0.0255159072539131-0.0368748544200964i
-0.237237237237237+0i,0.0460335470278877-0.0273925218872998i
-0.235235235235235+0i,0.062042420064667-0.0067308336304613i
-0.233233233233233+0i,0.0677207362949709+0.0224905022798043i
-0.231231231231231+0i,0.0588764633588054+0.0547784466360152i
-0.229229229229229+0i,0.0342854827268009+0.0827656677137021i
-0.227227227227227+0i,-0.0035564253243047+0.0987939577419569i
-0.225225225225225+0i,-0.0485039131504479+0.0967546068229392i
-0.223223223223223+0i,-0.0917164212988368+0.0737726492171275i
