time [seconds],signal [mV]
0.308308308308308+0i,0.419147303965578-0.610111865239939i
0.309309309309309+0i,0.684094960710033-0.862155838924787i
0.31031031031031+0i,1.02687499520694-0.35014059250726i
0.311311311311311+0i,0.803411971021227-0.315408897004837i
0.312312312312312+0i,1.24274493932143-0.15564627498057i
0.313313313313313+0i,0.989505842580627+0.332944485763873i
0.314314314314314+0i,1.0272401161273+0.16885481717845i
0.315315315315315+0i,1.14291730232979+0.71053186682445i
0.316316316316316+0i,0.720782730880093+0.72763590873458i
0.317317317317317+0i,0.981262440309806+0.856241903150859i
0.318318318318318+0i,0.5559600855534+1.29300687738742i
0.319319319319319+0i,0.42821124788846+1.06663334576461i
0.32032032032032+0i,0.36188727825332+1.52009722097475i
0.321321321321321+0i,-0.23720315884968+1.39875538662106i
0.322322322322322+0i,-0.13805978782931+1.34203411630448i
0.323323323323323+0i,-0.68497735834079+1.52956655607169i
0.324324324324324+0i,-0.85672027104172+1.0180898247569i
0.325325325325325+0i,-0.89022861239443+1.17609460969308i
0.326326326326326+0i,-1.36358033952115+0.77590105027371i
0.327327327327327+0i,-1.07025501619178+0.50292470854604i
0.328328328328328+0i,-1.38491624954772+0.53831830044883i
0.329329329329329+0i,-1.30603903273241-0.04603414612444i
0.33033033033033+0i,-1.11326943473361+0.1028298283769i
0.331331331331331+0i,-1.3822063717359-0.27055315017705i
0.332332332332332+0i,-0.914118495822296-0.485551000230524i
0.333333333333333+0i,-1.075-0.38971143170298i
0.334334334334334+0i,-0.838749282283405-0.897618011546021i
0.335335335335335+0i,-0.495250024883983-0.648535863334219i
0.336336336336336+0i,-0.609323206030317-0.889595491154024i
0.337337337337337+0i,-0.00831138054996-0.914213980307702i
0.338338338338338+0i,-0.084952400566378-0.588112425278723i
0.339339339339339+0i,0.174285623873413-0.828900976392695i
0.34034034034034+0i,0.448263435667449-0.308152848581928i
0.341341341341341+0i,0.189492017249361-0.313800005407651i
0.342342342342342+0i,0.579690379841799-0.154087832856365i
0.343343343343343+0i,0.254130288369648+0.270728703717052i
0.344344344344344+0i,0.270245402914529+0.055344058723344i
0.345345345345345+0i,0.316208800890317+0.538308369085899i
0.346346346346346+0i,-0.126158709543693+0.447326139734717i
0.347347347347347+0i,0.114836706578842+0.510570972792447i
0.348348348348348+0i,-0.338104236106147+0.823562008312613i
0.349349349349349+0i,-0.430037566580731+0.494904811599189i
0.35035035035035+0i,-0.497380094725513+0.848977506814833i
0.351351351351351+0i,-1.03844175666041+0.59269149317815i
0.352352352352352+0i,-0.874832151914728+0.458873522847082i
0.353353353353353+0i,-1.36170830858636+0.52730954931359i
0.354354354354354+0i,-1.41088479760949-0.06380462640903i
0.355355355355355+0i,-1.36320571266803+0.03391184082907i
0.356356356356356+0i,-1.70416356071694-0.44571162659554i
0.357357357357357+0i,-1.28437613819953-0.72674081746236i
0.358358358358358+0i,-1.49076728101535-0.73098969417839i
0.359359359359359+0i,-1.25765832865361-1.30776980683784i
0.36036036036036+0i,-0.96916506013158-1.1292115133217i
0.361361361361361+0i,-1.10778545320183-1.49169309199589i
0.362362362362362+0i,-0.53230832486407-1.62811144061611i
0.363363363363363+0i,-0.61839227303432-1.49209764907868i
0.364364364364364+0i,-0.27505389154484-1.92124658435002i
0.365365365365365+0i,0.10577560479305-1.5835130683918i
0.366366366366366+0i,0.0553660807875-1.76771252918256i
0.367367367367367+0i,0.69066716075246-1.6830480059398i
0.368368368368368+0i,0.61390826900018-1.30239883090906i
0.369369369369369+0i,0.90612651781801-1.46579253142986i
0.37037037037037+0i,1.14819447033355-0.87409110387013i
0.371371371371371+0i,0.892724006785299-0.854056944913472i
0.372372372372372+0i,1.26765077805063-0.62789558662445i
0.373373373373373+0i,0.906756516837137-0.199853689155594i
0.374374374374374+0i,0.935245261154956-0.393197846067158i
0.375375375375375+0i,0.943951421125343+0.103785488973506i
0.376376376376376+0i,0.514678743462452-0.015294205160808i
0.377377377377377+0i,0.762968674654204+0.066174258816886i
0.378378378378378+0i,0.30954822040611+0.342322792834092i
0.379379379379379+0i,0.273947717484917+0.006799753626122i
0.38038038038038+0i,0.220326569182895+0.357663870825324i
0.381381381381381+0i,-0.251929232508835+0.070323842370323i
0.382382382382382+0i,-0.0246911052488598-0.0337993856101458i
0.383383383383383+0i,-0.457089390968792+0.023961951228722i
0.384384384384384+0i,-0.400872391961583-0.532799863481033i
0.385385385385385+0i,-0.299380624731698-0.384586966574333i
0.386386386386386+0i,-0.543118841619891-0.830054464269583i
0.387387387387387+0i,-0.04655680424639-1.00845643509004i
0.388388388388388+0i,-0.200933827121746-0.946366030326918i
0.389389389389389+0i,0.11780558839019-1.41081928275716i
0.39039039039039+0i,0.42381127968075-1.10792596281825i
0.391391391391391+0i,0.33123621470468-1.36882088534071i
0.392392392392392+0i,0.91830473814307-1.34535044877636i
0.393393393393393+0i,0.80873580494013-1.09832075800859i
0.394394394394394+0i,1.15350544773879-1.38413575467898i
0.395395395395395+0i,1.46223013356356-0.90731902842428i
0.396396396396396+0i,1.36627825627601-0.99106893829993i
0.397397397397397+0i,1.92179414354077-0.7646833604377i
0.398398398398398+0i,1.73508266830682-0.30796778438495i
0.399399399399399+0i,1.94954833997721-0.37804006002634i
0.4004004004004+0i,2.05133367051112+0.28822566051079i
0.401401401401401+0i,1.69641316149406+0.33357022800139i
0.402402402402402+0i,1.95305823227038+0.61826364978057i
0.403403403403403+0i,1.46168688766181+1.03501245078705i
0.404404404404404+0i,1.40900222399562+0.84821414737693i
0.405405405405405+0i,1.29074252752603+1.33618007471571i
0.406406406406406+0i,0.7907742395358+1.16666972806277i
0.407407407407407+0i,0.96164994912797+1.24073384555222i
0.408408408408408+0i,0.42935910229448+1.45159808238153i
0.409409409409409+0i,0.37096234593045+1.08276097049363i
0.41041041041041+0i,0.25300047718221+1.39855432419089i
0.411411411411411+0i,-0.22577102336942+1.05019696731695i
0.412412412412412+0i,-0.014342354360157+0.942624103397915i
0.413413413413413+0i,-0.468424210126597+0.952973345302045i
0.414414414414414+0i,-0.38642316189097+0.39403156966909i
0.415415415415415+0i,-0.311676468972579+0.54822310006689i
0.416416416416416+0i,-0.537337513162214+0.091094972621348i
0.417417417417417+0i,-0.0475976280383992-0.0374092000946494i
0.418418418418418+0i,-0.229599128614268+0.03083800172069i
0.419419419419419+0i,0.093370893566161-0.385189020519341i
0.42042042042042+0i,0.337363425438523-0.03347082417614i
0.421421421421421+0i,0.216420248378888-0.27268151860453i
0.422422422422422+0i,0.74081423854926-0.178592065987337i
0.423423423423423+0i,0.542727060560481+0.081272059158461i
0.424424424424424+0i,0.82782690435845-0.163612552770345i
0.425425425425425+0i,1.01125275645807+0.33893463846985i
0.426426426426426+0i,0.827619200814543+0.239749538473525i
0.427427427427427+0i,1.26712038388355+0.48555321219112i
0.428428428428428+0i,0.948733437181423+0.891274809372739i
0.429429429429429+0i,1.0721663399976+0.78830979886997i
0.43043043043043+0i,1.03198904809309+1.39791995151401i
0.431431431431431+0i,0.58951840533902+1.34143287723278i
0.432432432432432+0i,0.747089903796+1.55804134570835i
0.433433433433433+0i,0.15909571384552+1.83932110547245i
0.434434434434434+0i,0.06636254845333+1.54274936283678i
0.435435435435435+0i,-0.1284248646119+1.90705950655214i
0.436436436436436+0i,-0.63855326356222+1.5826713562635i
0.437437437437437+0i,-0.48161236405584+1.55064386065382i
0.438438438438438+0i,-1.0197716943243+1.60434191376045i
0.439439439439439+0i,-1.02639782419737+1.1213571853813i
0.44044044044044+0i,-1.13072579212994+1.32499847161363i
0.441441441441441+0i,-1.53398692044126+0.84965160059861i
0.442442442442442+0i,-1.259179862564+0.67811728773929i
0.443443443443443+0i,-1.65159551955149+0.58608762282907i
0.444444444444444+0i,-1.46366873546328-0.02122627486275i
0.445445445445445+0i,-1.33598616228106+0.09351338052702i
0.446446446446446+0i,-1.46285448024184-0.41311378738959i
0.447447447447447+0i,-0.9039783593432-0.528003804268994i
0.448448448448448+0i,-1.03435074803935-0.48821377744947i
0.449449449449449+0i,-0.630986740602267-0.885435717018195i
0.45045045045045+0i,-0.372145991563288-0.51708215468895i
0.451451451451451+0i,-0.441682511610541-0.761897831436897i
0.452452452452452+0i,0.097640217930148-0.624902109045957i
0.453453453453453+0i,-0.105059275406121-0.379216959749359i
0.454454454454454+0i,0.20435028873955-0.605264859559056i
0.455455455455455+0i,0.35037653672118-0.100676587672013i
0.456456456456456+0i,0.172732441991025-0.232119941923236i
0.457457457457457+0i,0.590155456906028+0.018643411722203i
0.458458458458458+0i,0.242066937487549+0.363266328245208i
0.459459459459459+0i,0.377341218504112+0.226392055026203i
0.46046046046046+0i,0.301918664600345+0.781342914979295i
0.461461461461461+0i,-0.116863838459214+0.636681241170308i
0.462462462462462+0i,0.05084502250274+0.805871523086463i
0.463463463463463+0i,-0.519916059200269+0.981117588260257i
0.464464464464464+0i,-0.542386094896177+0.617055281757595i
0.465465465465465+0i,-0.704774872927912+0.906022376979505i
0.466466466466466+0i,-1.11763512393342+0.48879561871316i
0.467467467467467+0i,-0.875655997447332+0.420614939836957i
0.468468468468468+0i,-1.32274676534305+0.39564857373107i
0.46946946946947+0i,-1.19092287621443-0.11165246984297i
0.47047047047047+0i,-1.2026838369659+0.07302076506999i
0.471471471471471+0i,-1.45895342211858-0.42619749623668i
0.472472472472472+0i,-1.06290156562927-0.55554763082267i
0.473473473473473+0i,-1.34208135324847-0.64086768241132i
0.474474474474474+0i,-1.0101539015547-1.18249036295313i
0.475475475475475+0i,-0.801179830761633-0.996512647800814i
0.476476476476476+0i,-0.80918751498744-1.43889533924801i
0.477477477477477+0i,-0.17424837846582-1.43026121494347i
0.478478478478478+0i,-0.25071925770426-1.31249838264418i
0.47947947947948+0i,0.22449405585717-1.58544590277391i
0.48048048048048+0i,0.4836048778806-1.10346835149293i
0.481481481481481+0i,0.44692047520494-1.25799579943839i
0.482482482482482+0i,0.974354948261753-0.989191073670482i
0.483483483483483+0i,0.740683181881068-0.674201754198286i
0.484484484484485+0i,1.04229742920233-0.79979375449907i
0.485485485485485+0i,1.11770578192146-0.21980397818869i
0.486486486486486+0i,0.913218608601335-0.310027002102471i
0.487487487487487+0i,1.27124874739137+0.01416938959542i
